Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20
Hlavní město Praha,Czechia,50.0596288,14.446459273258009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,10,14,14,18,30,36,48,55,70,109,128,148,179,256,288,349,375,412,471,552,621,731,787,819,856,912,989,1071,1132,1157,1193,1225,1259,1314,1354,1389,1407,1425,1435,1447,1485,1505,1526,1554,1568,1609,1619,1633,1635,1649,1661,1662,1666,1675,1685,1708,1720,1723,1723,1730,1748,1756,1770,1783,1796,1805,1817,1822,1845,1859,1871,1889,1900,1922,1935,1947,1952,1972,1974,1978,1981,1983,1991,2005,2013,2023,2029,2042,2056,2080,2096,2100,2102,2107,2121,2126,2142,2153,2169,2188,2201,2214,2227,2240,2261,2282,2287,2295,2304,2321,2341,2355,2367,2377,2384,2387,2396,2404,2420,2432,2433,2441,2449,2455,2468,2483,2499,2505,2512,2523,2537,2538
Středočeský kraj,Czechia,50.0601579,13.83074794209991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,16,19,20,24,30,49,62,80,112,139,152,173,188,205,232,271,334,365,372,386,418,443,465,504,538,553,588,610,645,674,699,716,722,730,736,765,784,795,807,812,825,840,842,845,852,863,867,870,879,885,894,896,899,901,905,911,919,924,927,927,929,939,945,952,973,988,994,996,1003,1007,1013,1015,1021,1023,1026,1030,1032,1033,1036,1040,1042,1049,1049,1049,1052,1056,1056,1059,1062,1065,1067,1077,1089,1095,1105,1116,1121,1129,1131,1135,1137,1141,1143,1147,1157,1166,1170,1178,1181,1185,1191,1197,1201,1207,1226,1243,1255,1259,1267,1279,1296,1306,1309,1313,1319,1326,1332
Jihočeský kraj,Czechia,49.0864548,14.600172741470452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,6,11,14,17,19,29,30,30,33,35,55,67,76,83,84,92,100,109,116,118,119,119,122,130,136,138,146,149,154,155,155,156,158,158,158,159,161,163,164,167,169,171,171,171,172,172,172,172,172,172,172,172,174,177,177,177,177,177,177,180,180,180,180,180,180,180,180,181,181,181,181,181,181,181,182,185,185,185,185,185,186,186,186,189,189,189,189,190,191,191,191,191,191,191,191,191,191,191,191,192,192,194,199,200,200,200,200,200,200,200,201,201,201,201,202,202,205,207,207,207,208,209,209
Plzeňský kraj,Czechia,49.522810199999995,13.20631211667286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,11,11,11,14,19,19,20,20,22,33,43,76,94,119,121,143,168,178,188,219,255,266,287,318,363,381,403,431,441,466,478,493,502,519,524,548,550,560,563,571,576,577,581,588,593,596,603,605,608,611,612,613,623,625,631,631,631,634,636,636,641,645,647,648,650,650,652,654,655,655,655,656,657,657,659,659,659,659,659,660,660,660,661,661,661,661,661,661,661,661,661,661,662,662,662,662,665,665,669,669,669,670,670,670,671,673,673,673,676,676,677,677,677,677,678,678,678,680,680,680,681,681,681
Karlovarský kraj,Czechia,50.1753532,12.806086309968043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,13,13,17,18,28,37,39,41,47,55,65,65,77,89,93,99,105,113,123,137,151,154,167,170,174,185,187,194,196,198,211,213,220,222,234,247,260,272,287,292,300,328,346,348,352,356,358,369,372,378,383,405,409,413,417,420,421,426,427,428,430,431,431,431,434,435,441,441,443,444,448,448,448,449,449,449,449,449,449,450,453,459,462,465,465,466,466,466,467,467,468,468,468,468,468,468,468,468,468,468,469,469,469,469,469,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
Ústecký kraj,Czechia,50.5663266,13.820670539566608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,8,10,12,12,16,16,16,17,17,20,23,25,26,34,37,39,44,47,52,67,77,85,94,119,149,204,216,262,288,291,305,329,334,344,355,365,379,381,381,387,395,408,416,422,434,451,463,465,469,473,475,477,478,481,487,490,490,491,491,491,492,493,495,495,495,498,499,504,504,508,512,513,514,524,524,524,525,525,527,528,529,529,530,535,539,539,539,539,545,550,550,551,551,551,551,551,551,551,551,551,551,551,553,553,553,554,554,554,554,554,555,555,555,555,555,556,556,556,556,556,556,556,556,557,557,557,557,557,557,557,557,559
Liberecký kraj,Czechia,50.7476169,14.990302569053862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,7,9,12,14,15,22,34,45,53,69,86,91,113,130,136,144,149,156,158,166,168,171,172,177,178,179,182,186,186,187,189,191,191,191,192,193,193,194,194,194,194,194,194,195,195,196,196,196,197,197,198,198,198,198,198,198,198,198,199,199,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,201,202,202,202,202,202,202,202,202,202,202,202,203,203,204,205,217,218,228,241,243,247,249,251,251,251,255,261,275,282,290,295,295,295,296,298,299,301,302,303,304,306,310
Královéhradecký kraj,Czechia,50.40930255,15.6850269825579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,6,7,7,8,8,10,14,14,15,17,18,19,33,42,49,59,78,83,90,101,104,114,126,134,138,144,150,154,158,162,164,166,166,168,169,172,173,173,173,173,174,174,174,174,175,176,176,177,177,177,178,178,178,180,181,182,183,184,184,186,187,188,189,189,190,190,190,191,191,192,192,192,192,192,192,192,192,193,193,193,193,194,194,194,195,195,196,196,196,196,196,198,199,199,199,199,199,200,200,200,200,200,203,204,207,209,210,210,210,211,212,212,214,216,216,216,216,220,222,224,224,224,226,227,228,228
Pardubický kraj,Czechia,49.889818950000006,16.128325371948733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,12,13,15,18,22,27,30,41,43,55,58,64,71,75,80,104,118,126,157,172,173,176,179,199,200,212,215,220,222,222,232,238,242,243,246,247,249,254,254,257,260,261,263,264,265,266,268,268,268,268,268,271,271,272,272,272,273,273,273,274,274,275,275,275,276,276,277,279,279,279,279,279,279,280,280,280,280,280,280,280,280,281,281,281,281,282,284,284,284,284,285,286,286,286,287,287,291,298,301,301,302,302,308,308,308,310,310,311,311,311,311,311,311,314,314,317,318,319,320,322,325,325
Kraj Vysočina,Czechia,49.399409649999996,15.570471215163911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,6,8,8,9,12,16,23,23,24,29,37,45,77,98,99,104,111,120,124,127,130,130,134,139,148,151,155,155,159,161,161,161,161,162,162,162,165,168,169,171,172,172,173,174,174,175,175,175,176,176,176,177,177,177,179,179,179,179,179,179,180,180,180,180,180,180,180,181,183,184,184,184,184,184,184,184,185,185,185,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,188,188,188,190,190,190,190,191,191,191,191,192,193,194,196,196,197,197,210,210,212,220,221,224,224,227,229
