Province/State,Country/Region,Lat,Long,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06
Hlavní město Praha,Czechia,50.0596288,14.446459273258009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,11,15,15,19,31,37,49,56,71,110,129,149,180,257,289,351,377,414,473,555,624,735,791,823,860,915,993,1074,1136,1161,1197,1231,1264,1319,1359,1394,1413,1430,1440,1450,1490,1511,1532,1560,1572,1615,1625,1639,1641,1655,1667,1668,1672,1682,1692,1715,1727,1729,1730,1737,1752,1762,1776,1790,1802,1811,1823,1829,1850,1863,1878,1893,1905,1929,1940,1954,1956,1978,1981,1985,1987,1990,1998,2010,2020,2028,2036,2047,2063,2087,2102,2107,2109,2114,2127,2133,2147,2159,2176,2194,2208,2221,2233,2245,2269,2290,2294,2303,2311,2329,2348,2363,2375,2385,2393,2396,2405,2413,2429,2441,2442,2450,2458,2463,2477,2493,2509,2515,2521,2532,2547,2562,2582,2593,2611,2639,2666,2730,2782,2832,2916,2955,2989,3032,3094,3162,3207,3261,3294,3320,3363,3443,3482,3537,3611,3657,3686,3736,3822,3906,3996,4077,4121,4161,4207,4274,4363,4409,4541,4621,4655,4713,4784,4893,4987,5126,5187,5313,5367,5492,5637,5821,6024,6152,6321,6456,6787,7073,7407,7695,8131,8389,8652,8927,9403,10120,10519,10917,11130,11390,11847,12217,12657,13167,13636,13959,14203,14562,15069,15718,16233,16716,17223,17654,18161
Středočeský kraj,Czechia,50.0601579,13.83074794209991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,16,19,20,24,30,49,62,80,112,139,152,174,189,206,233,272,335,366,373,387,418,444,466,505,539,554,589,611,646,674,700,717,724,732,738,765,786,796,809,814,827,842,844,847,854,865,869,871,881,887,895,898,901,903,906,913,921,926,928,929,931,941,947,955,976,991,997,999,1006,1010,1015,1018,1023,1026,1028,1033,1034,1035,1039,1043,1045,1052,1052,1052,1055,1059,1059,1062,1065,1068,1070,1080,1092,1098,1106,1117,1124,1132,1133,1138,1140,1144,1146,1150,1160,1169,1173,1181,1184,1188,1194,1200,1204,1210,1229,1246,1258,1262,1270,1282,1299,1309,1312,1316,1322,1327,1357,1365,1377,1389,1401,1414,1436,1476,1499,1530,1546,1561,1587,1638,1684,1719,1743,1760,1774,1798,1817,1851,1879,1933,1969,1989,2009,2045,2094,2134,2158,2177,2191,2211,2256,2297,2333,2400,2436,2452,2477,2515,2572,2618,2702,2744,2802,2833,2907,2990,3101,3247,3336,3394,3476,3657,3828,4023,4248,4489,4638,4778,4971,5230,5626,5949,6165,6314,6519,6819,7050,7441,7892,8167,8420,8661,8940,9346,9906,10417,10735,10988,11328,11670
Jihočeský kraj,Czechia,49.0864548,14.600172741470452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,6,11,14,17,19,29,30,30,33,35,55,67,76,83,84,92,100,109,116,118,119,119,122,130,136,138,146,149,154,155,155,156,158,158,158,159,161,163,163,167,169,171,171,171,172,172,172,172,172,172,172,172,174,177,177,177,177,177,177,180,180,180,180,180,180,180,180,181,181,181,181,181,181,181,182,185,185,185,185,185,186,186,186,187,189,189,189,190,191,191,191,191,191,191,191,191,191,191,191,192,192,194,199,200,200,200,200,200,200,200,201,201,201,201,202,202,204,206,206,206,207,208,208,210,215,215,215,228,231,235,238,248,253,268,277,283,300,327,345,351,352,354,358,368,375,392,398,402,408,413,427,435,442,447,451,454,470,487,494,524,529,530,550,586,604,617,639,656,656,667,697,739,766,816,850,859,909,942,974,1042,1114,1178,1196,1210,1286,1404,1517,1632,1744,1749,1811,1945,2043,2179,2317,2414,2425,2463,2533,2665,2834,3011,3263,3289,3378,3631
Plzeňský kraj,Czechia,49.522810199999995,13.20631211667286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,11,11,11,14,19,19,20,20,22,33,43,76,94,119,121,143,168,178,188,218,254,265,286,316,362,380,402,429,440,465,477,492,501,518,522,547,549,559,562,570,575,576,578,586,592,595,602,603,607,610,611,612,622,624,630,630,630,633,635,635,640,644,646,646,648,649,651,653,654,654,654,655,656,656,658,658,658,658,658,659,659,659,660,660,660,660,660,660,660,660,660,660,660,661,661,661,664,664,668,668,668,669,669,669,670,672,672,672,675,675,676,676,676,676,677,677,677,679,679,679,680,680,680,682,684,687,687,687,689,692,697,702,705,708,711,714,721,723,729,732,733,742,748,755,763,794,809,810,812,823,840,857,878,882,901,924,932,948,954,963,984,991,999,1013,1034,1046,1062,1075,1081,1094,1128,1165,1188,1212,1241,1248,1299,1347,1406,1494,1559,1648,1694,1745,1819,1947,2103,2220,2291,2337,2412,2555,2687,2815,2989,3079,3131,3183,3309,3455,3622,3808,3938,4041,4288,4425
Karlovarský kraj,Czechia,50.1753532,12.806086309968043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,13,13,17,18,28,37,39,41,47,55,65,65,77,89,93,99,105,113,123,137,151,154,167,170,174,185,187,194,196,198,211,213,220,222,233,247,260,272,287,289,300,328,346,348,352,356,358,368,372,378,383,405,409,413,417,418,421,426,427,428,430,431,431,431,434,435,441,441,443,444,448,448,448,449,449,449,449,449,449,450,452,458,461,465,465,466,466,466,467,467,468,468,468,468,468,468,468,468,468,468,469,469,469,469,469,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,471,472,472,472,472,472,472,473,477,478,482,484,484,488,492,492,497,497,498,499,499,500,500,501,503,503,503,503,505,509,514,523,523,524,527,528,536,545,554,557,557,557,570,593,605,622,627,627,630,680,712,739,756,793,798,815,906,974,1008,1072,1109,1145,1181,1220,1289,1346,1388,1413,1416,1452,1478,1531,1585,1639,1672,1712,1762,1782
Ústecký kraj,Czechia,50.5663266,13.820670539566608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,5,8,10,12,12,16,16,16,17,17,20,23,25,26,35,38,40,45,48,53,68,78,87,96,121,151,206,218,264,290,293,307,331,336,346,357,367,381,383,383,389,397,409,418,424,436,453,465,467,471,475,477,479,479,483,489,492,492,493,493,493,494,495,497,497,497,500,501,503,506,510,513,515,516,526,526,526,527,527,529,530,531,531,532,537,541,541,541,541,547,552,552,553,553,553,553,553,553,553,553,553,553,553,555,555,555,556,556,556,556,556,557,557,557,557,557,558,558,558,558,558,558,558,558,559,559,559,559,559,559,559,559,561,562,563,563,563,564,571,583,593,601,602,604,611,625,628,633,641,644,644,652,660,667,674,682,684,706,706,718,733,740,750,750,752,754,762,769,775,795,799,799,804,814,835,851,863,890,899,900,909,935,968,976,986,1009,1028,1052,1087,1135,1186,1234,1252,1311,1408,1487,1684,1800,1861,1910,2012,2116,2266,2415,2609,2709,2802,2833,2922,3067,3244,3494,3685,3764,3896,3996
Liberecký kraj,Czechia,50.7476169,14.990302569053862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,7,9,12,14,15,22,34,45,53,69,86,91,113,130,136,144,149,156,158,166,168,171,172,177,178,179,182,186,186,187,189,191,191,191,192,193,193,194,194,194,194,194,194,194,195,196,196,196,197,197,198,198,198,198,198,198,198,198,199,199,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,201,202,202,202,202,202,202,202,202,202,202,202,202,203,204,205,217,217,227,241,243,247,249,251,251,251,255,261,274,281,286,294,294,294,295,297,298,300,301,301,303,305,311,320,332,332,333,342,345,350,353,361,362,362,368,386,395,402,411,412,415,422,424,426,439,447,449,451,455,462,468,473,477,477,477,482,486,489,493,499,501,504,511,523,530,549,561,563,567,584,598,619,632,653,656,665,685,713,747,776,815,859,864,907,990,1072,1174,1272,1391,1427,1464,1555,1656,1733,1824,1904,1944,1994,2051,2168,2263,2397,2562,2676,2758,2787
Královéhradecký kraj,Czechia,50.40930255,15.6850269825579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,6,7,7,8,8,10,14,14,15,17,18,19,33,42,49,59,78,83,90,101,104,114,126,134,138,144,151,155,159,163,165,167,167,169,170,173,174,174,174,174,175,175,175,175,176,177,177,178,178,178,179,179,179,181,182,183,184,185,185,187,188,189,189,190,191,191,191,191,192,193,193,193,193,193,193,193,193,194,194,194,194,195,195,195,196,196,197,197,197,197,197,198,200,200,200,200,200,201,201,201,201,201,204,205,208,210,211,211,211,212,213,213,215,217,217,217,217,221,223,225,225,225,227,228,229,229,232,236,236,237,239,239,241,246,254,255,255,265,268,275,288,294,294,296,305,320,332,339,342,343,347,357,367,371,384,399,410,411,416,426,438,450,461,467,476,486,500,512,522,538,542,547,558,578,598,612,650,663,671,687,743,795,845,925,945,983,1011,1110,1192,1305,1343,1419,1451,1503,1598,1667,1726,1792,1863,1977,1993,2075,2184,2275,2391,2416,2444,2735,2841
Pardubický kraj,Czechia,49.889818950000006,16.128325371948733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,12,13,15,18,22,27,30,41,43,55,58,64,72,76,81,106,120,128,159,175,177,179,183,203,204,216,218,224,226,226,236,242,245,247,250,251,253,258,258,259,262,265,267,268,269,270,272,272,272,272,272,275,275,276,276,276,277,277,277,278,278,279,279,279,280,280,281,283,283,283,283,283,283,284,284,284,284,284,284,284,284,285,285,285,285,285,288,288,288,288,289,290,290,290,291,291,295,302,305,305,306,306,312,312,312,314,314,315,315,315,315,315,315,318,318,321,322,322,324,326,329,329,331,335,335,336,338,343,344,350,363,370,370,385,397,406,417,425,425,426,438,444,459,468,475,478,478,478,489,500,515,533,550,551,554,574,587,616,642,644,644,657,678,690,713,729,737,737,747,774,817,860,893,916,926,947,996,1052,1126,1189,1301,1333,1391,1464,1531,1640,1723,1794,1803,1878,1986,2077,2181,2299,2375,2398,2465,2556,2664,2801,2960,3018,3049,3204,3275
Kraj Vysočina,Czechia,49.399409649999996,15.570471215163911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,6,8,8,9,12,16,23,23,24,29,37,45,78,99,100,105,112,121,125,128,131,131,135,140,149,152,156,156,160,162,162,162,162,163,163,163,166,169,169,172,173,173,174,175,175,176,176,176,177,177,177,178,178,178,179,180,180,180,180,180,181,181,181,181,181,181,181,182,184,185,185,185,185,185,185,185,186,186,186,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,189,189,189,191,191,191,191,192,192,192,192,193,194,194,196,196,197,197,210,210,212,221,222,225,225,228,231,237,237,238,242,247,252,266,294,335,351,356,358,374,377,389,399,399,404,408,419,424,429,436,438,439,440,452,456,482,496,500,506,513,525,537,549,574,592,606,638,653,664,673,694,712,714,732,761,784,822,846,889,929,967,985,1039,1082,1137,1189,1205,1255,1310,1396,1532,1609,1669,1709,1796,1866,1986,2121,2264,2350,2412,2503,2609,2749,2917,3090,3183,3264,3387,3460
