Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20
M: 0–14,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,6,6,9,12,15,16,17,20,26,30,33,38,43,52,55,60,68,73,77,85,90,93,101,113,120,125,137,145,156,159,162,171,175,176,178,184,188,192,198,200,206,209,216,221,225,228,233,236,243,243,245,245,246,246,247,248,250,253,253,253,255,260,262,263,270,273,276,276,279,281,283,284,286,290,290,290,294,298,303,305,306,306,309,309,311,313,316,319,319,320,322,325,325
M: 15–24,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,11,18,26,31,35,40,44,49,55,70,85,97,113,129,132,148,161,170,195,209,212,218,234,244,255,265,271,280,283,285,291,297,301,305,306,309,312,317,321,327,332,334,335,337,340,342,343,346,350,352,353,356,362,364,365,368,370,376,377,379,383,387,390,393,393,399,401,406,409,413,414,415,416,418,424,424,424,426,426,430,431,433,435,436,438,442,444,444,446
M: 25–34,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,7,8,16,24,34,42,52,61,78,89,96,105,118,133,153,177,198,214,229,256,271,303,320,341,357,366,384,394,423,432,444,453,462,464,469,476,487,493,495,497,502,510,518,527,529,531,531,534,537,539,540,542,546,546,551,556,564,567,573,575,575,575,581,584,596,602,611,616,624,637,639,644,650,659,664,668,674,680,691,699,705,706,708,712,723,727,729,731,732,739,741,743,745
M: 35–44,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,6,7,7,10,15,17,23,33,47,60,71,83,101,114,123,144,161,187,209,227,241,251,274,295,317,337,362,377,389,407,419,434,451,467,481,490,493,496,507,515,526,531,536,543,547,557,564,569,574,576,576,578,583,591,594,594,598,601,607,616,618,620,626,629,633,639,649,659,663,674,674,687,700,707,713,720,728,735,744,749,755,760,761,763,765,765,770,774,780,782,784,786,797,802,810,818
M: 45–54,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,5,6,9,12,13,22,28,38,41,51,62,78,93,104,117,145,166,183,210,228,242,269,291,318,337,360,371,383,402,416,446,470,494,501,512,515,525,535,544,554,562,565,569,579,584,598,610,618,621,622,626,629,633,640,641,642,646,652,656,664,672,674,676,679,685,690,695,699,705,709,728,752,770,776,779,792,808,826,837,841,850,854,857,861,865,869,881,885,890,894,898,924,932,936,945
M: 55–64,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,10,14,17,26,29,39,49,56,62,71,79,90,111,133,150,170,185,193,207,225,238,260,272,287,296,307,318,339,357,371,378,386,389,398,411,422,431,435,442,446,457,468,475,478,484,484,487,490,496,501,506,510,510,512,517,518,522,524,527,527,532,534,535,544,548,550,550,553,560,568,572,577,581,585,590,593,596,599,601,602,603,604,606,609,613,616,616,616,625,628,628,630
M: 65+,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,4,4,8,9,13,19,28,33,40,49,54,58,64,70,81,96,114,133,170,193,206,233,268,292,320,350,366,378,406,434,455,500,521,535,542,548,557,568,581,593,602,607,616,635,644,660,675,690,695,696,700,707,719,724,725,729,730,736,739,743,749,749,751,755,758,758,766,767,771,773,776,778,781,784,786,791,792,792,795,797,800,804,807,807,807,809,812,814,819,819,827,830,832,832,832
Z: 0–14,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,4,8,10,13,16,17,22,27,27,32,35,41,45,51,57,63,67,71,79,81,91,100,108,111,117,122,132,140,144,153,155,158,160,165,170,173,176,176,179,182,186,193,199,202,204,204,207,207,211,212,215,215,215,217,220,223,226,227,228,228,229,231,234,234,236,236,238,238,240,244,244,249,251,252,255,256,259,260,263,264,264,266,270,270,270,273,274,277,278,278,278
Z: 15–24,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,4,5,7,8,9,10,17,22,24,31,41,46,50,55,69,73,86,97,107,113,142,156,167,188,207,215,238,247,264,279,290,300,308,314,315,321,331,336,343,351,357,365,368,375,378,381,385,387,389,396,397,400,402,403,404,404,407,409,412,417,421,421,422,423,426,429,431,434,436,437,438,438,441,442,444,444,445,446,446,447,449,450,450,453,456,457,458,460,462,464,470,474,476,476
Z: 25–34,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,6,8,9,16,22,34,41,48,60,72,82,88,101,110,126,147,169,188,199,218,236,255,274,302,319,329,347,364,382,391,406,416,423,430,440,453,459,463,467,471,479,487,496,501,508,512,514,516,517,523,526,526,527,528,538,544,547,553,557,560,562,562,566,567,572,574,575,576,577,579,584,587,591,592,593,596,599,606,610,614,618,622,623,628,632,633,634,635,637,640,646,650,651
