Province/State,Country/Region,Lat,Long,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05
M: 0–14,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,9,10,15,17,18,22,26,32,39,43,48,53,58,63,71,74,83,86,92,100,106,115,128,132,137,146,154,160,166,173,175,176,179,186,189,194,197,201,209,215,221,221,225,232,235,236,241,244,245,246,247,247,248,249,250,253,253,254,254,257,261,263,268,272,275,275,279,279,283,283,285,289,290,290,291,296,298,304,305,305,305,309,311,313,314,318,320,321,322,324,328,330,335,337,339,340,341,346,351,352,358,359,365,373,376,380,382,383,386,393,394,400,405,413,418,422,425,429,433,440,444,446,452,456,459,467,474,478,478,485,493,513,529,540,546,547,557,569,582,587,596,601,608,613,622,628,632,644,646,651,653,659,664,679,687,689,694,703,717,732,743,759,771,775,787,796,808,821,840,846,854,862,877,894,918,939,952,972,999,1035,1078,1136,1198,1276,1313,1363,1455,1548,1690,1808,1965,2016,2106,2257,2354,2492,2637,2757,2873,2946,3038,3175,3328,3445,3540,3617,3742,3909,4083,4294,4639,4845,5001,5161,5445,5794,6138,6558,6900,7140,7464,7888,8480,9073,9721,10288,10607,10986,11570,12092,12627,13178,13681,14006,14338,14750,15350,15838
M: 15–24,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,12,19,22,25,40,45,54,62,68,76,91,107,124,136,140,156,171,184,205,213,223,229,244,252,262,268,274,281,283,287,290,299,302,304,309,311,316,321,327,330,332,335,338,339,342,343,346,351,352,352,356,359,365,366,368,368,371,375,378,380,383,388,390,392,396,399,403,406,410,415,417,418,418,420,423,427,427,427,429,430,434,437,438,438,442,443,447,448,450,451,453,453,454,455,456,459,464,468,471,472,478,480,485,491,497,503,507,514,518,528,543,556,562,565,569,574,576,585,589,597,602,608,622,634,650,667,685,705,744,783,816,851,866,887,912,943,994,1042,1076,1087,1098,1120,1146,1178,1205,1233,1249,1258,1276,1315,1347,1371,1390,1404,1412,1424,1444,1468,1502,1545,1563,1576,1604,1637,1672,1700,1739,1766,1791,1812,1849,1915,1965,2027,2067,2099,2141,2254,2365,2513,2687,2858,2952,3058,3242,3475,3799,4051,4253,4334,4473,4661,4915,5171,5428,5602,5730,5869,6016,6215,6410,6660,6839,6978,7156,7415,7762,8050,8536,8798,8954,9172,9560,9982,10388,10853,11218,11425,11740,12226,12854,13410,14042,14585,14904,15335,15919,16431,16965,17492,17959,18225,18586,19072,19735,20313
M: 25–34,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,6,9,11,20,32,40,45,55,80,92,105,114,121,138,161,185,215,241,257,268,288,310,332,359,376,384,400,408,429,441,447,462,465,467,471,483,488,495,498,501,508,517,526,529,532,533,533,534,537,541,543,544,545,548,552,555,562,568,573,573,575,575,577,582,589,601,605,609,618,628,635,638,646,655,661,664,673,677,682,693,697,700,703,711,722,728,730,733,736,739,742,746,749,755,761,763,766,768,773,782,790,793,799,809,817,833,839,865,893,937,952,962,965,968,980,987,992,994,1004,1013,1025,1044,1049,1052,1055,1063,1077,1093,1098,1107,1118,1136,1156,1179,1199,1231,1246,1254,1266,1293,1333,1364,1388,1406,1420,1451,1486,1533,1576,1621,1648,1660,1687,1736,1768,1825,1861,1879,1893,1914,1949,1981,2018,2079,2111,2124,2163,2210,2263,2301,2371,2414,2457,2480,2552,2632,2711,2809,2856,2913,2968,3118,3231,3368,3528,3656,3729,3835,3958,4128,4378,4528,4696,4764,4847,5000,5161,5355,5583,5742,5843,5914,6057,6311,6579,6909,7133,7284,7510,7912,8352,8788,9482,9885,10134,10444,11079,11820,12559,13460,14124,14500,15054,15957,17040,18086,19200,20094,20589,21270,22362,23196,24071,24966,25673,26073,26694,27504,28597,29423
M: 35–44,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,4,4,5,9,9,11,14,19,30,42,53,68,97,111,136,145,154,170,198,222,248,265,276,286,312,328,344,374,390,400,417,425,445,459,474,488,493,495,498,507,517,525,533,539,545,554,561,563,568,572,572,574,577,584,593,594,594,600,601,607,612,618,619,620,624,629,634,643,653,659,667,671,685,696,705,708,715,724,737,741,745,750,756,759,761,762,764,768,775,779,782,783,788,796,804,812,821,824,831,834,837,846,854,869,875,875,880,889,901,915,926,955,985,1052,1099,1118,1129,1138,1148,1163,1171,1174,1182,1194,1200,1209,1214,1215,1221,1227,1237,1247,1262,1265,1270,1288,1313,1327,1346,1354,1363,1370,1386,1407,1429,1450,1462,1470,1482,1504,1525,1540,1561,1588,1605,1614,1624,1651,1672,1700,1723,1733,1745,1758,1783,1808,1818,1859,1876,1882,1896,1930,1964,2005,2047,2076,2104,2122,2177,2225,2294,2371,2421,2465,2513,2605,2709,2816,2920,3045,3112,3176,3325,3482,3725,3872,4005,4084,4188,4380,4547,4735,5000,5163,5258,5346,5510,5773,6056,6396,6634,6782,7011,7430,7918,8397,9130,9575,9832,10170,10928,11761,12628,13633,14429,14878,15537,16621,17865,19069,20416,21547,22145,22951,24266,25374,26371,27475,28386,28893,29583,30549,31800,32721
M: 45–54,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,6,7,11,12,12,17,27,33,38,48,71,85,101,117,133,156,180,201,233,254,265,287,313,339,359,381,395,406,421,437,464,484,502,513,518,523,531,542,553,558,565,571,577,586,598,604,614,619,623,623,628,629,639,641,643,643,646,652,657,665,671,673,673,676,682,686,695,698,700,702,739,752,769,775,780,792,819,829,837,841,849,853,856,857,861,868,877,883,889,891,901,923,928,937,948,951,957,960,965,967,975,997,1009,1019,1023,1033,1044,1067,1083,1120,1193,1279,1344,1368,1376,1394,1403,1414,1419,1424,1435,1445,1460,1466,1476,1484,1489,1500,1514,1527,1541,1552,1559,1580,1603,1627,1643,1666,1673,1677,1696,1721,1744,1761,1777,1787,1791,1810,1824,1841,1856,1874,1892,1903,1913,1932,1958,1987,2009,2017,2022,2041,2065,2091,2106,2143,2159,2164,2181,2211,2234,2261,2300,2326,2342,2359,2401,2463,2518,2570,2615,2635,2678,2770,2869,2961,3051,3141,3189,3258,3367,3511,3730,3850,3985,4049,4145,4301,4446,4646,4883,5042,5128,5242,5426,5672,5983,6316,6526,6665,6938,7357,7799,8270,9009,9426,9667,10043,10745,11669,12576,13530,14319,14738,15487,16636,18033,19297,20632,21796,22416,23339,24784,25947,27184,28450,29529,30129,30998,32100,33541,34740
M: 55–64,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,13,14,22,31,34,41,57,63,74,86,97,113,137,159,186,193,201,212,225,252,265,282,295,302,312,324,340,358,369,380,385,389,398,413,425,432,436,443,455,464,472,475,479,483,487,490,495,498,505,509,512,512,512,516,520,523,525,525,527,532,534,536,546,548,551,553,559,563,571,573,576,583,589,595,598,598,601,602,603,604,604,606,608,612,613,616,618,622,629,631,631,634,639,642,642,645,649,653,662,666,668,670,675,681,688,696,719,739,761,769,773,781,790,792,794,795,803,805,811,819,822,824,825,830,841,845,851,853,858,875,885,894,907,913,914,920,924,936,946,955,962,966,967,978,985,994,1004,1022,1026,1032,1041,1050,1064,1082,1090,1098,1106,1110,1121,1132,1140,1162,1171,1178,1191,1210,1226,1239,1262,1279,1290,1302,1331,1363,1400,1445,1468,1484,1507,1552,1602,1654,1705,1773,1805,1843,1916,2005,2134,2222,2292,2336,2398,2494,2579,2695,2851,2949,3007,3068,3181,3343,3539,3757,3906,4007,4191,4452,4781,5135,5628,5917,6095,6360,6819,7441,8027,8739,9277,9608,10120,10817,11718,12601,13564,14280,14747,15472,16500,17382,18263,19179,19951,20405,21055,21968,23117,24058
M: 65+,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,5,9,9,11,15,27,33,36,45,56,60,71,80,91,101,125,141,190,214,232,253,283,313,341,361,380,396,422,440,464,514,525,538,544,553,559,576,587,597,602,613,632,649,658,664,673,677,691,693,702,708,716,728,728,730,731,733,741,743,745,747,749,752,755,757,763,766,769,770,775,777,780,781,785,790,790,791,793,796,798,800,807,807,807,808,812,816,817,821,825,831,833,833,834,836,838,840,845,847,848,854,866,867,869,874,877,881,884,885,888,889,891,894,898,902,905,908,915,917,919,924,927,930,935,937,945,951,954,963,966,969,973,979,984,999,1011,1025,1030,1037,1050,1058,1063,1073,1084,1087,1096,1108,1120,1130,1137,1147,1154,1164,1166,1175,1190,1200,1213,1228,1233,1240,1251,1265,1272,1293,1302,1311,1328,1342,1359,1373,1404,1421,1425,1442,1463,1493,1515,1548,1573,1586,1611,1657,1699,1750,1811,1888,1927,1976,2044,2119,2235,2308,2368,2402,2465,2567,2673,2813,2976,3069,3137,3225,3336,3508,3724,3945,4106,4229,4471,4727,5020,5334,5839,6121,6353,6643,7118,7635,8147,8767,9262,9640,10165,10888,11762,12621,13555,14330,14836,15588,16569,17431,18310,19298,20070,20533,21306,22219,23278,24266
Z: 0–14,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,4,9,12,14,15,19,22,26,29,33,37,43,51,55,59,68,70,73,81,88,97,105,112,117,119,125,137,142,147,153,157,160,163,166,172,174,175,177,182,184,191,195,199,203,205,206,207,208,214,215,216,216,216,217,220,224,227,229,229,229,229,232,233,235,235,236,238,239,239,241,244,250,252,253,255,256,260,260,263,263,264,266,272,272,272,274,277,279,279,280,280,283,285,289,290,292,292,294,299,300,302,303,306,314,317,317,323,323,327,332,339,346,355,362,366,370,377,383,390,393,395,401,404,406,412,418,422,429,432,436,440,444,445,455,466,471,479,502,509,514,523,526,529,535,542,548,551,561,566,570,571,578,583,591,602,608,615,626,633,647,653,669,678,682,694,706,717,726,741,753,760,771,784,803,827,864,878,891,910,960,1001,1054,1106,1179,1215,1275,1348,1473,1626,1721,1851,1901,2012,2166,2267,2395,2534,2646,2752,2850,2963,3090,3230,3363,3461,3549,3664,3819,3991,4165,4465,4630,4757,4924,5211,5513,5838,6213,6562,6743,7040,7468,8035,8595,9136,9634,9955,10343,10914,11405,11918,12422,12876,13200,13523,13973,14585,15090
Z: 15–24,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,4,5,5,7,8,9,9,12,14,19,27,35,46,53,57,63,72,83,92,107,121,131,149,163,177,193,211,238,244,266,273,286,297,308,315,317,321,324,335,337,344,352,362,366,372,378,379,382,385,386,390,397,399,401,403,404,405,405,408,409,413,415,415,421,422,424,424,428,431,432,432,438,439,439,439,441,444,444,445,446,446,446,446,447,448,448,454,458,459,460,461,464,468,473,476,477,478,478,478,480,482,484,490,492,493,493,495,498,501,503,505,508,511,512,518,523,530,533,546,548,551,558,564,568,574,577,577,579,583,587,599,604,617,630,633,642,658,671,704,719,727,748,766,779,802,830,839,841,850,872,889,904,942,958,967,983,1012,1038,1055,1079,1091,1099,1109,1124,1150,1174,1209,1225,1233,1244,1264,1292,1305,1336,1354,1381,1404,1426,1470,1520,1576,1606,1641,1688,1765,1839,1962,2077,2203,2280,2382,2537,2733,3022,3235,3396,3489,3609,3798,3985,4192,4420,4587,4694,4789,4914,5096,5307,5560,5699,5807,5959,6183,6485,6739,7181,7434,7606,7789,8187,8609,9076,9596,10040,10297,10676,11183,11858,12521,13236,13825,14206,14632,15308,15834,16396,17032,17529,17803,18186,18700,19411,20015
Z: 25–34,Czechia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,6,8,9,13,25,33,38,43,66,83,90,97,108,116,135,160,187,210,223,231,250,269,287,319,339,343,359,374,388,404,419,426,433,438,447,458,461,466,476,481,489,496,500,504,509,513,515,517,518,524,526,527,528,530,536,546,551,552,557,559,562,564,565,568,571,574,575,576,579,580,584,588,593,594,595,597,602,605,608,615,617,622,626,630,634,636,636,637,640,642,644,649,652,656,660,662,663,666,668,674,685,687,692,695,702,711,717,720,726,731,735,739,749,759,765,770,778,780,785,792,801,810,812,816,819,830,837,841,849,855,860,864,873,884,897,910,916,925,936,957,975,998,1014,1021,1034,1049,1078,1091,1110,1138,1153,1161,1180,1204,1226,1252,1273,1295,1306,1322,1349,1381,1409,1446,1464,1473,1506,1535,1569,1606,1659,1678,1710,1728,1782,1839,1905,1975,2021,2061,2105,2202,2286,2400,2507,2633,2697,2766,2875,3007,3218,3344,3459,3525,3597,3757,3885,4051,4259,4393,4471,4539,4662,4849,5095,5389,5569,5682,5880,6218,6590,6948,7627,7960,8187,8479,9086,9785,10522,11383,12071,12450,13008,13876,14974,15999,17074,17991,18463,19139,20192,21077,21949,22814,23604,24041,24577,25349,26378,27245
