datum,prirustkovy_pocet_nakazenych,kumulativni_pocet_nakazenych
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0,0
2020-01-31,0,0
2020-02-01,0,0
2020-02-02,0,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,0,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,0,0
2020-02-11,0,0
2020-02-12,0,0
2020-02-13,0,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,0,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,0,0
2020-02-21,0,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,0,0
2020-02-25,0,0
2020-02-26,0,0
2020-02-27,0,0
2020-02-28,0,0
2020-02-29,0,0
2020-03-01,3,3
2020-03-02,0,3
2020-03-03,2,5
2020-03-04,1,6
2020-03-05,3,9
2020-03-06,11,20
2020-03-07,7,27
2020-03-08,6,33
2020-03-09,6,39
2020-03-10,25,64
2020-03-11,31,95
2020-03-12,22,117
2020-03-13,25,142
2020-03-14,48,190
2020-03-15,109,299
2020-03-16,85,384
2020-03-17,68,452
2020-03-18,110,562
2020-03-19,206,768
2020-03-20,124,892
2020-03-21,159,1051
2020-03-22,115,1166
2020-03-23,126,1292
2020-03-24,185,1477
2020-03-25,292,1769
2020-03-26,259,2028
2020-03-27,377,2405
2020-03-28,263,2668
2020-03-29,159,2827
2020-03-30,184,3011
2020-03-31,308,3319
2020-04-01,283,3602
2020-04-02,269,3871
2020-04-03,334,4205
2020-04-04,284,4489
2020-04-05,117,4606
2020-04-06,236,4842
2020-04-07,196,5038
2020-04-08,295,5333
2020-04-09,257,5590
2020-04-10,163,5753
2020-04-11,170,5923
2020-04-12,89,6012
2020-04-13,68,6080
2020-04-14,82,6162
2020-04-15,160,6322
2020-04-16,132,6454
2020-04-17,116,6570
2020-04-18,105,6675
2020-04-19,92,6767
2020-04-20,154,6921
2020-04-21,133,7054
2020-04-22,99,7153
2020-04-23,55,7208
2020-04-24,86,7294
2020-04-25,79,7373
2020-04-26,52,7425
2020-04-27,41,7466
2020-04-28,59,7525
2020-04-29,75,7600
2020-04-30,103,7703
2020-05-01,55,7758
2020-05-02,18,7776
2020-05-03,26,7802
2020-05-04,38,7840
2020-05-05,77,7917
2020-05-06,78,7995
