"Province/State","Country/Region","Lat","Long","1/22/20","1/23/20","1/24/20","1/25/20","1/26/20","1/27/20","1/28/20","1/29/20","1/30/20","1/31/20","2/1/20","2/2/20","2/3/20","2/4/20","2/5/20","2/6/20","2/7/20","2/8/20","2/9/20","2/10/20","2/11/20","2/12/20","2/13/20","2/14/20","2/15/20","2/16/20","2/17/20","2/18/20","2/19/20","2/20/20","2/21/20","2/22/20","2/23/20","2/24/20","2/25/20","2/26/20","2/27/20","2/28/20","2/29/20","3/1/20","3/2/20","3/3/20","3/4/20","3/5/20","3/6/20","3/7/20","3/8/20","3/9/20","3/10/20","3/11/20","3/12/20","3/13/20","3/14/20","3/15/20","3/16/20","3/17/20","3/18/20","3/19/20","3/20/20","3/21/20","3/22/20","3/23/20","3/24/20","3/25/20","3/26/20","3/27/20","3/28/20","3/29/20","3/30/20","3/31/20","4/1/20","4/2/20","4/3/20","4/4/20","4/5/20","4/6/20","4/7/20","4/8/20","4/9/20","4/10/20","4/11/20","4/12/20","4/13/20","4/14/20","4/15/20","4/16/20","4/17/20","4/18/20","4/19/20","4/20/20","4/21/20","4/22/20","4/23/20","4/24/20","4/25/20","4/26/20","4/27/20","4/28/20","4/29/20","4/30/20","5/1/20","5/2/20","5/3/20","5/4/20","5/5/20","5/6/20","5/7/20","5/8/20","5/9/20","5/10/20","5/11/20","5/12/20","5/13/20","5/14/20","5/15/20","5/16/20","5/17/20","5/18/20","5/19/20","5/20/20","5/21/20","5/22/20","5/23/20","5/24/20","5/25/20","5/26/20","5/27/20","5/28/20","5/29/20","5/30/20","5/31/20","6/1/20","6/2/20","6/3/20","6/4/20","6/5/20","6/6/20","6/7/20","6/8/20","6/9/20","6/10/20","6/11/20","6/12/20","6/13/20","6/14/20","6/15/20","6/16/20","6/17/20","6/18/20","6/19/20","6/20/20","6/21/20","6/22/20","6/23/20","6/24/20","6/25/20","6/26/20","6/27/20","6/28/20","6/29/20","6/30/20","7/1/20","7/2/20","7/3/20","7/4/20","7/5/20","7/6/20","7/7/20","7/8/20","7/9/20","7/10/20","7/11/20","7/12/20","7/13/20","7/14/20","7/15/20","7/16/20","7/17/20","7/18/20","7/19/20","7/20/20","7/21/20","7/22/20","7/23/20","7/24/20","7/25/20","7/26/20","7/27/20","7/28/20","7/29/20","7/30/20","7/31/20","8/1/20","8/2/20","8/3/20","8/4/20","8/5/20","8/6/20","8/7/20","8/8/20","8/9/20","8/10/20","8/11/20","8/12/20","8/13/20","8/14/20","8/15/20","8/16/20","8/17/20","8/18/20","8/19/20","8/20/20","8/21/20","8/22/20","8/23/20","8/24/20","8/25/20","8/26/20","8/27/20","8/28/20","8/29/20","8/30/20","8/31/20","9/1/20","9/2/20","9/3/20","9/4/20","9/5/20","9/6/20","9/7/20","9/8/20","9/9/20","9/10/20","9/11/20","9/12/20","9/13/20","9/14/20","9/15/20","9/16/20","9/17/20","9/18/20","9/19/20","9/20/20","9/21/20","9/22/20","9/23/20","9/24/20","9/25/20","9/26/20","9/27/20","9/28/20","9/29/20","9/30/20","10/1/20","10/2/20","10/3/20","10/4/20","10/5/20","10/6/20","10/7/20","10/8/20","10/9/20","10/10/20","10/11/20","10/12/20","10/13/20","10/14/20","10/15/20","10/16/20","10/17/20","10/18/20","10/19/20","10/20/20","10/21/20","10/22/20","10/23/20","10/24/20","10/25/20","10/26/20","10/27/20"
" Czechia"," Hlavní město Praha","50.0596288","14.446459273258009","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","3","3","11","15","15","19","31","37","49","56","71","110","129","149","180","257","289","351","377","414","473","555","624","735","791","824","861","916","994","1075","1137","1162","1198","1232","1265","1320","1360","1395","1414","1431","1441","1451","1491","1512","1533","1561","1573","1616","1626","1640","1642","1656","1668","1669","1673","1683","1693","1716","1728","1730","1731","1738","1753","1763","1777","1791","1803","1812","1824","1830","1851","1864","1879","1894","1906","1930","1941","1955","1957","1979","1982","1986","1988","1991","1999","2011","2021","2030","2038","2049","2065","2089","2104","2109","2111","2116","2129","2135","2149","2161","2178","2196","2210","2223","2235","2247","2271","2292","2296","2305","2313","2331","2350","2365","2377","2387","2395","2398","2407","2415","2431","2443","2444","2452","2460","2465","2479","2495","2511","2517","2523","2534","2549","2564","2584","2595","2613","2641","2668","2732","2784","2834","2918","2957","2991","3034","3097","3165","3210","3264","3297","3323","3366","3446","3485","3540","3614","3660","3689","3739","3825","3909","3999","4080","4124","4164","4210","4277","4366","4412","4544","4624","4658","4716","4787","4896","4990","5129","5190","5316","5370","5495","5640","5824","6027","6155","6324","6459","6790","7076","7410","7698","8135","8393","8657","8933","9409","10128","10527","10930","11144","11405","11864","12240","12689","13204","13677","14002","14246","14612","15128","15788","16311","16799","17309","17764","18608","19453","20167","21547","22198","22623","23254","24400","25707","26875","28236","29423","30084","31127","32717","34409","36124","37621","38944","39690","40973","42069"
" Czechia"," Středočeský kraj","50.0601579","13.83074794209991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","16","19","20","24","30","49","62","80","112","139","152","174","189","206","233","272","335","366","373","387","418","444","466","505","539","554","589","611","646","674","700","717","724","732","738","765","786","796","809","814","827","842","844","847","854","865","869","871","881","887","895","898","901","903","906","913","921","926","928","929","931","941","947","956","977","992","998","1000","1007","1011","1016","1019","1024","1027","1029","1034","1035","1036","1040","1044","1046","1053","1053","1053","1056","1060","1060","1063","1066","1069","1071","1081","1093","1099","1107","1118","1125","1133","1134","1139","1141","1145","1147","1151","1161","1170","1174","1182","1185","1189","1195","1201","1205","1211","1230","1247","1259","1263","1271","1283","1300","1310","1313","1317","1323","1328","1358","1366","1378","1390","1402","1415","1437","1477","1500","1531","1547","1562","1588","1639","1685","1720","1744","1761","1775","1799","1818","1852","1880","1934","1970","1990","2010","2046","2095","2135","2159","2178","2192","2212","2257","2298","2334","2401","2437","2453","2478","2516","2573","2619","2703","2745","2803","2834","2908","2991","3102","3248","3337","3395","3477","3658","3829","4024","4249","4490","4639","4779","4972","5233","5628","5951","6167","6316","6521","6821","7051","7448","7899","8173","8425","8666","8945","9350","9910","10429","10752","11018","11369","11898","12645","13245","14279","15011","15366","15930","17027","18074","19192","20549","21633","22242","23430","24897","26757","28498","30222","32099","32866","34176","35701"
" Czechia"," Jihočeský kraj","49.0864548","14.600172741470452","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","6","11","14","17","19","29","30","30","33","35","55","67","76","83","84","92","100","109","116","118","119","119","122","130","136","138","146","149","154","155","155","156","158","158","158","159","161","163","163","167","169","171","171","171","172","172","172","172","172","172","172","172","174","177","177","177","177","177","177","180","180","180","180","180","180","180","180","181","181","181","181","181","181","181","182","185","185","185","185","185","186","186","186","187","189","189","189","190","191","191","191","191","191","191","191","191","191","191","191","192","192","194","199","200","200","200","200","200","200","200","201","201","201","201","202","202","204","206","206","206","207","208","208","210","215","215","215","228","231","235","238","248","253","268","277","283","300","327","345","351","352","354","358","368","375","392","398","402","408","413","427","435","442","447","451","454","470","487","494","524","529","530","550","586","604","617","639","656","656","667","697","739","766","816","850","859","909","942","974","1042","1114","1178","1196","1210","1286","1404","1518","1632","1744","1749","1811","1945","2045","2181","2319","2416","2427","2465","2536","2667","2835","3012","3264","3290","3380","3710","4004","4409","4868","5142","5222","5355","5903","6456","7030","7535","8059","8243","8662","9547","10191","11261","12125","13074","13375","13978","14435"
" Czechia"," Plzeňský kraj","49.522810199999995","13.20631211667286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","2","11","11","11","14","19","19","20","20","22","33","43","76","94","119","121","143","168","178","188","218","254","265","286","316","362","380","402","429","440","465","477","492","501","518","522","547","549","559","562","570","575","576","578","586","592","595","602","603","607","610","611","612","622","624","630","630","630","633","635","635","640","644","646","646","648","649","651","653","654","654","654","655","656","656","658","658","658","658","658","659","659","659","660","660","660","660","660","660","660","660","660","660","660","661","661","661","664","664","668","668","668","669","669","669","670","672","672","672","675","675","676","676","676","676","677","677","677","679","679","679","680","680","680","682","684","687","687","687","689","692","697","702","705","708","711","714","721","723","729","732","733","742","748","755","763","794","809","810","812","823","840","857","878","882","901","924","932","948","954","963","984","991","999","1013","1034","1046","1062","1075","1081","1094","1128","1165","1188","1212","1241","1248","1299","1347","1408","1501","1569","1662","1709","1760","1834","1962","2118","2238","2309","2357","2433","2577","2711","2844","3018","3108","3161","3213","3339","3486","3655","3846","3979","4082","4347","4545","4811","5113","5461","5722","5898","6184","6723","7267","7908","8728","9409","9852","10309","11081","11996","12973","13808","14624","15030","15630","16403"
" Czechia"," Karlovarský kraj","50.1753532","12.806086309968043","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","8","13","13","17","18","28","37","39","41","47","55","65","65","77","89","93","99","105","113","123","137","151","154","167","170","174","185","187","194","196","198","211","213","220","222","233","247","260","272","287","289","300","328","346","348","352","356","358","368","372","378","383","405","409","413","417","418","421","426","427","428","430","431","431","431","434","435","441","441","443","444","448","448","448","449","449","449","449","449","449","450","452","458","461","465","465","466","466","466","467","467","468","468","468","468","468","468","468","468","468","468","469","469","469","469","469","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","470","471","472","472","472","472","472","472","473","477","478","482","484","484","488","492","492","497","497","498","499","499","500","500","501","503","503","503","503","505","509","514","523","523","524","527","528","536","545","554","557","557","557","570","593","605","622","627","627","630","680","712","739","756","793","798","815","906","974","1008","1072","1109","1145","1181","1223","1293","1350","1392","1417","1420","1456","1482","1535","1589","1642","1675","1717","1768","1839","1972","2022","2110","2149","2205","2288","2423","2548","2681","2897","3000","3147","3357","3640","3846","4021","4239","4566","4857","4918","5151"
" Czechia"," Ústecký kraj","50.5663266","13.820670539566608","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","5","8","10","12","12","16","16","16","17","17","20","23","25","26","35","38","40","45","48","53","68","78","87","96","121","151","206","218","264","290","293","307","331","336","346","357","367","381","383","383","389","397","409","418","424","436","453","465","467","471","475","477","479","479","483","489","492","492","493","493","493","494","495","497","497","497","500","501","503","506","510","513","515","516","526","526","526","527","527","529","530","531","531","532","537","541","541","541","541","547","553","553","554","554","554","554","554","554","554","554","554","554","554","556","556","556","557","557","557","557","557","558","558","558","558","558","559","559","559","559","559","559","559","559","560","560","560","560","560","560","560","560","562","563","564","564","564","565","572","584","594","602","603","605","612","626","629","634","642","645","645","653","661","668","675","683","685","707","707","719","734","741","751","751","753","755","763","770","776","796","800","800","805","815","836","852","864","891","900","902","912","938","970","978","988","1011","1031","1055","1090","1138","1189","1237","1255","1314","1411","1490","1689","1805","1866","1914","2016","2120","2270","2419","2614","2714","2807","2838","2927","3072","3249","3500","3694","3776","3907","4083","4404","4735","5149","5482","5654","5836","6268","6884","7484","8072","8353","8927","9188","9951","11030","11892","12993","13864","14441","15217","16101"
" Czechia"," Liberecký kraj","50.7476169","14.990302569053862","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","3","3","4","5","7","9","12","14","15","22","34","45","53","69","86","91","113","130","136","144","149","156","158","166","168","171","172","177","178","179","182","186","186","187","189","191","191","191","192","193","193","194","194","194","194","194","194","194","195","196","196","196","197","197","198","198","198","198","198","198","198","198","199","199","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","200","201","202","202","202","202","202","202","202","202","202","202","202","202","203","204","205","217","217","227","241","243","247","249","251","251","251","255","261","274","281","286","294","294","294","295","297","298","300","301","301","303","305","311","320","332","332","333","342","345","350","353","361","362","362","368","386","395","403","412","413","416","423","425","427","440","448","450","452","456","463","469","474","478","478","478","483","487","490","494","500","502","505","512","524","531","550","562","564","568","585","599","620","633","654","657","666","686","714","748","777","816","860","865","908","991","1073","1174","1273","1393","1429","1466","1558","1660","1740","1831","1911","1952","2002","2057","2170","2264","2399","2561","2676","2759","3014","3212","3406","3732","3963","4140","4303","4713","5099","5564","5950","6349","6537","6931","7428","7906","8549","9336","9754","10136","10553","11046"
" Czechia"," Královéhradecký kraj","50.40930255","15.6850269825579","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","3","6","7","7","8","8","10","14","14","15","17","18","19","33","42","49","59","78","83","90","101","104","114","126","134","138","144","151","155","159","163","165","167","167","169","170","173","174","174","174","174","175","175","175","175","176","177","177","178","178","178","179","179","179","181","182","184","185","186","186","188","189","190","190","191","192","192","192","192","193","194","194","194","194","194","194","194","194","195","195","195","195","196","196","196","198","198","199","199","199","199","199","200","202","202","202","202","202","203","203","203","203","203","206","207","210","212","213","213","213","214","215","215","217","219","219","219","219","223","225","227","227","227","229","230","231","231","234","238","238","239","241","241","243","248","256","257","257","267","270","277","290","296","296","298","307","322","334","341","344","345","349","359","369","373","386","401","412","413","418","428","440","452","463","469","478","488","502","514","524","540","544","549","560","580","600","614","652","665","673","689","745","797","847","927","947","985","1013","1112","1193","1306","1344","1420","1452","1504","1600","1670","1729","1795","1866","1980","1996","2078","2187","2278","2393","2418","2445","2734","2953","3117","3329","3624","3916","4046","4245","4688","5165","5601","6294","6958","7196","7680","8268","9304","10012","10936","11942","12753","13333","14013"
" Czechia"," Pardubický kraj","49.889818950000006","16.128325371948733","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","2","4","12","13","15","18","22","27","30","41","43","55","58","64","72","76","81","106","120","128","159","175","177","179","183","203","204","216","218","224","226","226","236","242","245","247","250","251","253","258","258","259","262","265","267","268","269","270","272","272","272","272","272","275","275","276","276","276","277","277","277","278","278","279","279","279","280","280","281","283","283","283","283","283","283","284","284","284","284","284","284","284","284","285","285","285","285","285","288","288","288","288","289","290","290","290","291","291","295","302","305","305","306","306","312","312","312","314","314","315","315","315","315","315","315","318","318","321","322","322","324","326","329","329","331","335","335","336","338","343","344","350","363","370","370","385","397","406","417","425","425","426","438","444","459","468","475","478","478","478","489","500","515","533","550","551","554","574","587","616","642","644","644","657","678","690","713","729","737","737","747","774","817","860","893","916","926","947","996","1052","1126","1189","1301","1333","1392","1465","1532","1641","1725","1796","1805","1880","1987","2080","2184","2302","2378","2400","2467","2557","2663","2800","2959","3018","3048","3203","3296","3471","3748","4094","4241","4339","4518","4971","5350","5758","6262","6560","6663","7071","7600","8340","9077","9736","10250","10462","11022","11723"
" Czechia"," Kraj Vysočina","49.399409649999996","15.570471215163911","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","2","2","6","8","8","9","12","16","23","23","24","29","37","45","78","99","100","105","112","121","125","128","131","131","135","140","149","152","156","156","160","162","162","162","162","163","163","163","166","169","169","172","173","173","174","175","175","176","176","176","177","177","177","178","178","178","179","180","180","180","180","180","181","181","181","181","181","181","181","182","184","185","185","185","185","185","185","185","186","186","186","187","187","187","187","187","187","187","187","187","187","187","187","187","187","187","187","187","189","189","189","191","191","191","191","192","192","192","192","193","194","194","196","196","197","197","210","210","212","221","222","225","225","228","231","237","237","238","242","247","252","266","294","335","351","356","358","374","377","389","399","399","404","408","419","424","429","436","438","439","440","452","456","482","496","500","506","513","525","537","549","574","592","606","638","653","664","673","694","712","714","732","761","784","822","846","889","930","968","986","1040","1083","1138","1190","1206","1256","1311","1397","1533","1610","1670","1710","1797","1867","1987","2122","2266","2352","2414","2505","2611","2750","2920","3093","3186","3269","3392","3573","3797","4111","4555","4750","4900","5291","5627","6136","6305","6894","7455","7749","8092","8584","9227","9941","10513","10809","11177","11857","12501"
