"Province/State","Country/Region","Lat","Long","1/22/20","1/23/20","1/24/20","1/25/20","1/26/20","1/27/20","1/28/20","1/29/20","1/30/20","1/31/20","2/1/20","2/2/20","2/3/20","2/4/20","2/5/20","2/6/20","2/7/20","2/8/20","2/9/20","2/10/20","2/11/20","2/12/20","2/13/20","2/14/20","2/15/20","2/16/20","2/17/20","2/18/20","2/19/20","2/20/20","2/21/20","2/22/20","2/23/20","2/24/20","2/25/20","2/26/20","2/27/20","2/28/20","2/29/20","3/1/20","3/2/20","3/3/20","3/4/20","3/5/20","3/6/20","3/7/20","3/8/20","3/9/20","3/10/20","3/11/20","3/12/20","3/13/20","3/14/20","3/15/20","3/16/20","3/17/20","3/18/20","3/19/20","3/20/20","3/21/20","3/22/20","3/23/20","3/24/20","3/25/20","3/26/20","3/27/20","3/28/20","3/29/20","3/30/20","3/31/20","4/1/20","4/2/20","4/3/20","4/4/20","4/5/20","4/6/20","4/7/20","4/8/20","4/9/20","4/10/20","4/11/20","4/12/20","4/13/20","4/14/20","4/15/20","4/16/20","4/17/20","4/18/20","4/19/20","4/20/20","4/21/20","4/22/20","4/23/20","4/24/20","4/25/20","4/26/20","4/27/20","4/28/20","4/29/20","4/30/20","5/1/20","5/2/20","5/3/20","5/4/20","5/5/20","5/6/20","5/7/20","5/8/20","5/9/20","5/10/20","5/11/20","5/12/20","5/13/20","5/14/20","5/15/20","5/16/20","5/17/20","5/18/20","5/19/20","5/20/20","5/21/20","5/22/20","5/23/20","5/24/20","5/25/20"
" Czechia"," M: 0–14","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","4","6","6","9","12","15","16","17","20","26","30","33","38","43","52","55","60","68","73","77","85","90","93","101","113","120","125","137","145","156","159","162","171","175","176","178","184","188","192","198","200","206","209","216","221","225","228","233","236","243","243","245","245","246","246","247","248","250","253","253","253","255","260","262","263","270","273","276","276","279","281","283","284","286","290","290","290"
" Czechia"," M: 15–24","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","9","11","18","26","31","35","40","44","49","55","70","85","96","112","128","131","147","160","169","194","208","212","217","233","243","254","264","270","279","282","284","290","296","300","304","305","308","311","316","321","327","332","334","335","337","340","342","343","346","350","352","353","356","362","364","365","368","370","376","377","379","383","387","390","393","393","399","401","406","409","413","414","415"
" Czechia"," M: 25–34","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","4","7","8","16","24","34","42","52","61","78","89","96","105","118","133","154","178","199","215","230","256","271","303","320","341","357","366","384","394","423","432","444","453","462","465","470","476","487","493","495","497","502","510","518","527","529","531","531","534","537","539","540","542","546","546","551","556","564","567","573","575","575","575","581","584","596","602","611","615","622","635","637","642","648","657","662","665"
" Czechia"," M: 35–44","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","2","3","4","5","6","7","7","10","15","17","23","33","47","60","71","84","102","116","125","146","163","189","211","229","243","253","276","297","319","339","363","378","390","408","420","435","452","468","482","491","494","497","508","516","527","532","537","544","548","558","565","570","575","577","577","579","584","592","595","595","599","602","608","617","619","621","627","630","634","640","650","660","664","675","675","688","701","708","714","721","727","733","741"
" Czechia"," M: 45–54","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","3","3","5","6","9","12","13","22","28","38","41","51","62","78","93","104","117","145","166","183","211","229","243","270","292","319","338","361","372","384","403","417","447","471","495","502","513","516","526","536","545","555","563","566","570","580","585","599","611","619","622","623","627","630","634","641","642","643","647","653","657","665","673","675","677","680","686","691","696","700","705","709","728","752","770","777","780","793","808","823"
" Czechia"," M: 55–64","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","6","10","14","17","26","29","39","49","56","62","71","79","90","111","133","150","170","185","193","207","225","238","260","272","287","296","307","318","339","357","371","378","386","389","398","411","422","431","435","442","446","457","468","475","478","485","485","488","491","497","502","507","511","511","513","518","519","523","525","528","528","533","535","536","545","549","551","551","554","561","569","573","578","582","586","589"
" Czechia"," M: 65+","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","3","4","4","8","9","13","19","28","33","40","49","54","58","64","70","81","96","114","133","172","195","208","235","270","294","322","352","368","380","408","436","457","502","523","537","544","550","559","570","583","595","604","609","619","637","646","662","677","692","697","698","702","709","721","726","727","731","732","739","742","746","752","752","754","758","761","761","769","770","774","776","779","781","784","786","788","793","794","794"
" Czechia"," Z: 0–14","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","2","2","3","3","4","8","10","13","16","17","22","27","27","32","35","41","45","51","57","63","67","71","79","81","91","100","108","111","117","122","132","140","144","153","155","158","160","165","170","173","176","176","179","182","186","192","198","201","203","203","206","206","210","211","214","214","214","216","219","222","225","226","227","227","228","230","233","233","235","235","237","237","239","243","243","248","250","251"
" Czechia"," Z: 15–24","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","3","3","3","4","4","4","5","6","8","9","10","11","18","23","25","32","42","47","51","56","70","74","87","98","108","114","143","158","169","190","209","217","240","249","266","281","292","302","310","316","317","323","333","338","345","353","359","367","370","377","380","383","387","389","391","398","399","402","404","405","406","406","409","411","414","419","423","423","424","425","428","431","433","436","438","439","440","440","443","443","445","445","446"
" Czechia"," Z: 25–34","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","3","6","8","9","16","22","34","41","48","60","72","82","88","101","110","126","146","168","187","198","217","235","254","273","301","318","328","346","364","382","391","406","416","423","430","440","453","459","463","467","471","479","487","496","501","508","512","514","516","517","523","526","526","527","528","538","544","547","553","557","560","562","562","566","567","572","574","575","576","577","579","584","587","591","592","593","596"
" Czechia"," Z: 35–44","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","4","5","7","9","10","14","17","22","28","30","41","49","60","73","76","91","119","141","162","194","209","228","249","273","303","331","371","391","405","417","440","466","485","498","510","523","528","537","543","555","563","569","573","583","591","599","608","613","618","620","622","625","630","635","641","644","645","652","662","670","675","677","681","682","688","689","695","697","701","706","707","711","714","717","722","724","726","728","729"
" Czechia"," Z: 45–54","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","3","3","3","5","8","10","13","16","23","30","37","48","58","66","78","87","99","115","136","169","193","225","237","257","293","319","355","400","436","450","472","493","527","553","573","584","603","605","618","631","642","656","670","674","679","692","702","709","720","728","740","747","754","758","761","770","773","774","779","784","794","801","807","807","810","812","817","821","829","835","839","839","843","848","853","857","859","865","867","870"
" Czechia"," Z: 55–64","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","4","6","7","10","14","17","20","23","27","37","44","50","53","60","64","73","85","98","115","134","149","158","178","200","218","229","247","263","275","289","312","339","357","371","381","394","402","404","419","428","444","455","462","473","478","480","485","494","500","506","510","511","516","517","521","522","523","524","532","540","544","547","548","551","556","557","559","564","566","566","567","569","569","571","573","576","578","580","581"
" Czechia"," Z: 65+","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","2","3","5","6","8","15","22","30","37","39","43","43","51","55","70","101","115","149","169","180","224","272","302","331","361","394","413","445","467","508","540","578","600","612","627","636","653","682","699","732","744","758","775","794","813","830","847","854","863","870","876","880","890","894","895","899","906","911","917","922","923","925","931","934","936","938","939","942","945","948","950","953","955","956","957","958","961"
