pomucka,kraj,celkem,2020-03-31,2020-04-01,2020-04-03,2020-04-04,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-20,2020-05-21,2020-05-25,2020-05-27,2020-05-28,2020-05-29,2020-06-03,2020-06-04,2020-06-05,2020-06-10,2020-06-11,2020-06-12,2020-06-15,2020-08-28,2020-10-01
Brýle,CZ010,17770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11047,13592,13592,13592,14038,14038,14038,14448,14448,14448,15648,15648,15648,15648,17770,17770
Dezinfekce (l),CZ010,16675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675,16675
Filtry k polomaskám,CZ010,19196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12057,17800,17800,17800,18316,18316,18316,19196,19196,19196,19196,19196,19196,19196,19196,19196
Návleky na obuv,CZ010,143530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44730,68230,68230,68230,101930,101930,101930,143530,143530,143530,143530,143530,143530,143530,143530,143530
Ochranné oděvy,CZ010,548225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279660,288810,288810,288810,390004,390004,390004,511505,511505,511505,527005,527005,527005,527005,548225,548225
Odběrové sady,CZ010,301390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185281,218061,218061,218061,247810,247810,247810,283230,283230,283230,294830,294830,294830,294830,301390,301390
Ostatní,CZ010,8676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676,8676
Plicní ventilátory,CZ010,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,25,25,63,63,63,63,63,63,63,63
Polomasky,CZ010,6026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3340,5990,5990,5990,6026,6026,6026,6026,6026,6026,6026,6026,6026,6026,6026,6026
Příslušenství k plicním ventilátorům,CZ010,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
