datum,pomucka,CZ010,CZ020,CZ031,CZ032,CZ041,CZ042,CZ051,CZ052,CZ053,CZ063,CZ064,CZ071,CZ072,CZ080,Hlavní město Praha,Jihomoravský kraj,Jihočeský kraj,Karlovarský kraj,Kraj Vysočina,Královéhradecký kraj,Liberecký kraj,Moravskoslezský kraj,Olomoucký kraj,Pardubický kraj,Plzeňský kraj,Středočeský kraj,Zlínský kraj,Ústecký kraj
2020-03-31,Brýle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4131,1840,916,60,350,990,290,1992,1635,900,904,380,660,820
2020-03-31,Dezinfekce (l),0,0,0,0,0,0,0,0,0,0,0,0,0,0,8085,7240,1155,1155,970,870,980,2615,2555,615,5185,625,730,1715
2020-03-31,Filtry k polomaskám,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,Návleky na obuv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2530,337,270,1000,9100,0,350,1232,550,150,3200,50,100,0
2020-03-31,Ochranné oděvy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36227,9351,3252,1364,1734,899,1118,8974,5088,4586,6529,3137,2429,2420
2020-03-31,Odběrové sady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13150,3700,1000,0,1000,2000,1300,1800,2000,1000,3100,300,1500,2100
2020-03-31,Ostatní,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,Plicní ventilátory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,Polomasky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,Příslušenství k plicním ventilátorům,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,Respirátory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,755785,82275,31690,13811,21045,32320,30200,37095,46430,18345,42055,13280,30680,35735
2020-03-31,Roušky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043263,457367,115492,39249,80256,227717,108990,230709,234623,80944,257099,34155,87787,95005
2020-03-31,Rukavice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218200,19150,11850,11600,20000,7500,11050,54600,34800,14200,10300,25250,24450,24900
2020-03-31,Rychlotesty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19000,3000,3000,3000,3000,3000,3000,6000,29000,3000,3000,12000,2000,3000
2020-03-31,Tampóny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,300,300,2300,600,300,300,2300,600,300,300,200,300,400
2020-03-31,Teploměry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,Termokamery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,Štíty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2292,1774,486,60,90,335,75,89,985,570,232,57,410,1040
2020-04-01,Brýle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241,1840,916,60,350,990,290,1992,1635,900,904,380,660,820
2020-04-01,Dezinfekce (l),0,0,0,0,0,0,0,0,0,0,0,0,0,0,8235,7240,1225,1185,1015,925,1020,2725,2625,720,5315,705,730,1770
2020-04-01,Filtry k polomaskám,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,Návleky na obuv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2530,337,270,1000,9100,0,350,1232,550,150,3200,50,100,0
2020-04-01,Ochranné oděvy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39933,9351,3252,1364,1734,899,1118,8974,5088,4586,6529,3137,2429,2420
2020-04-01,Odběrové sady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13150,3700,1000,0,1000,2000,1300,1800,2000,1000,3100,300,1500,2100
2020-04-01,Ostatní,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,Plicní ventilátory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,Polomasky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,Příslušenství k plicním ventilátorům,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,Respirátory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923623,82275,31830,13871,24345,32440,30280,37355,46570,18465,42175,13520,30800,35995
2020-04-01,Roušky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2058603,457367,117792,40449,82156,229767,110640,235259,237173,82794,259249,39255,89937,97855
2020-04-01,Rukavice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242540,19150,11990,11660,20082,7608,11130,54820,34935,14300,10410,40503,24557,25060
