datum,kraj,pomucka,pocet,zmena
2020-03-31,CZ010,Brýle,0,0
2020-03-31,CZ010,Dezinfekce (l),0,0
2020-03-31,CZ010,Filtry k polomaskám,0,0
2020-03-31,CZ010,Návleky na obuv,0,0
2020-03-31,CZ010,Ochranné oděvy,0,0
2020-03-31,CZ010,Odběrové sady,0,0
2020-03-31,CZ010,Ostatní,0,0
2020-03-31,CZ010,Plicní ventilátory,0,0
2020-03-31,CZ010,Polomasky,0,0
2020-03-31,CZ010,Příslušenství k plicním ventilátorům,0,0
2020-03-31,CZ010,Respirátory,0,0
2020-03-31,CZ010,Roušky,0,0
2020-03-31,CZ010,Rukavice,0,0
2020-03-31,CZ010,Rychlotesty,0,0
2020-03-31,CZ010,Tampóny,0,0
2020-03-31,CZ010,Teploměry,0,0
2020-03-31,CZ010,Termokamery,0,0
2020-03-31,CZ010,Štíty,0,0
2020-03-31,CZ020,Brýle,0,0
2020-03-31,CZ020,Dezinfekce (l),0,0
2020-03-31,CZ020,Filtry k polomaskám,0,0
2020-03-31,CZ020,Návleky na obuv,0,0
2020-03-31,CZ020,Ochranné oděvy,0,0
2020-03-31,CZ020,Odběrové sady,0,0
2020-03-31,CZ020,Ostatní,0,0
2020-03-31,CZ020,Plicní ventilátory,0,0
2020-03-31,CZ020,Polomasky,0,0
2020-03-31,CZ020,Příslušenství k plicním ventilátorům,0,0
2020-03-31,CZ020,Respirátory,0,0
2020-03-31,CZ020,Roušky,0,0
2020-03-31,CZ020,Rukavice,0,0
2020-03-31,CZ020,Rychlotesty,0,0
2020-03-31,CZ020,Tampóny,0,0
2020-03-31,CZ020,Teploměry,0,0
2020-03-31,CZ020,Termokamery,0,0
2020-03-31,CZ020,Štíty,0,0
2020-03-31,CZ031,Brýle,0,0
2020-03-31,CZ031,Dezinfekce (l),0,0
2020-03-31,CZ031,Filtry k polomaskám,0,0
2020-03-31,CZ031,Návleky na obuv,0,0
2020-03-31,CZ031,Ochranné oděvy,0,0
2020-03-31,CZ031,Odběrové sady,0,0
2020-03-31,CZ031,Ostatní,0,0
2020-03-31,CZ031,Plicní ventilátory,0,0
2020-03-31,CZ031,Polomasky,0,0
2020-03-31,CZ031,Příslušenství k plicním ventilátorům,0,0
2020-03-31,CZ031,Respirátory,0,0
2020-03-31,CZ031,Roušky,0,0
2020-03-31,CZ031,Rukavice,0,0
2020-03-31,CZ031,Rychlotesty,0,0
2020-03-31,CZ031,Tampóny,0,0
2020-03-31,CZ031,Teploměry,0,0
2020-03-31,CZ031,Termokamery,0,0
2020-03-31,CZ031,Štíty,0,0
2020-03-31,CZ032,Brýle,0,0
2020-03-31,CZ032,Dezinfekce (l),0,0
2020-03-31,CZ032,Filtry k polomaskám,0,0
2020-03-31,CZ032,Návleky na obuv,0,0
2020-03-31,CZ032,Ochranné oděvy,0,0
2020-03-31,CZ032,Odběrové sady,0,0
2020-03-31,CZ032,Ostatní,0,0
2020-03-31,CZ032,Plicní ventilátory,0,0
2020-03-31,CZ032,Polomasky,0,0
2020-03-31,CZ032,Příslušenství k plicním ventilátorům,0,0
2020-03-31,CZ032,Respirátory,0,0
2020-03-31,CZ032,Roušky,0,0
2020-03-31,CZ032,Rukavice,0,0
2020-03-31,CZ032,Rychlotesty,0,0
2020-03-31,CZ032,Tampóny,0,0
2020-03-31,CZ032,Teploměry,0,0
2020-03-31,CZ032,Termokamery,0,0
2020-03-31,CZ032,Štíty,0,0
2020-03-31,CZ041,Brýle,0,0
2020-03-31,CZ041,Dezinfekce (l),0,0
2020-03-31,CZ041,Filtry k polomaskám,0,0
2020-03-31,CZ041,Návleky na obuv,0,0
2020-03-31,CZ041,Ochranné oděvy,0,0
2020-03-31,CZ041,Odběrové sady,0,0
2020-03-31,CZ041,Ostatní,0,0
2020-03-31,CZ041,Plicní ventilátory,0,0
2020-03-31,CZ041,Polomasky,0,0
2020-03-31,CZ041,Příslušenství k plicním ventilátorům,0,0
2020-03-31,CZ041,Respirátory,0,0
2020-03-31,CZ041,Roušky,0,0
2020-03-31,CZ041,Rukavice,0,0
2020-03-31,CZ041,Rychlotesty,0,0
2020-03-31,CZ041,Tampóny,0,0
2020-03-31,CZ041,Teploměry,0,0
2020-03-31,CZ041,Termokamery,0,0
2020-03-31,CZ041,Štíty,0,0
2020-03-31,CZ042,Brýle,0,0
2020-03-31,CZ042,Dezinfekce (l),0,0
2020-03-31,CZ042,Filtry k polomaskám,0,0
2020-03-31,CZ042,Návleky na obuv,0,0
2020-03-31,CZ042,Ochranné oděvy,0,0
2020-03-31,CZ042,Odběrové sady,0,0
2020-03-31,CZ042,Ostatní,0,0
2020-03-31,CZ042,Plicní ventilátory,0,0
2020-03-31,CZ042,Polomasky,0,0
2020-03-31,CZ042,Příslušenství k plicním ventilátorům,0,0
2020-03-31,CZ042,Respirátory,0,0
2020-03-31,CZ042,Roušky,0,0
2020-03-31,CZ042,Rukavice,0,0
2020-03-31,CZ042,Rychlotesty,0,0
2020-03-31,CZ042,Tampóny,0,0
2020-03-31,CZ042,Teploměry,0,0
2020-03-31,CZ042,Termokamery,0,0
2020-03-31,CZ042,Štíty,0,0
2020-03-31,CZ051,Brýle,0,0
2020-03-31,CZ051,Dezinfekce (l),0,0
2020-03-31,CZ051,Filtry k polomaskám,0,0
2020-03-31,CZ051,Návleky na obuv,0,0
2020-03-31,CZ051,Ochranné oděvy,0,0
2020-03-31,CZ051,Odběrové sady,0,0
2020-03-31,CZ051,Ostatní,0,0
2020-03-31,CZ051,Plicní ventilátory,0,0
2020-03-31,CZ051,Polomasky,0,0
2020-03-31,CZ051,Příslušenství k plicním ventilátorům,0,0
