Kod,NUTS 0,NUTS 1,NUTS 2,NUTS 3,Latitude,Longitude
CZ,Česká republika,,,,,
CZ0,,Česká republika,,,,
CZ01,,,Praha,,,
CZ010,,,,Hlavní město Praha,50.0596288,14.446459273258009
CZ02,,,Střední Čechy,,,
CZ020,,,,Středočeský kraj,50.0601579,13.83074794209991
CZ03,,,Jihozápad,,,
CZ031,,,,Jihočeský kraj,49.0864548,14.600172741470452
CZ032,,,,Plzeňský kraj,49.522810199999995,13.20631211667286
CZ04,,,Severozápad,,,
CZ041,,,,Karlovarský kraj,50.1753532,12.806086309968043
CZ042,,,,Ústecký kraj,50.5663266,13.820670539566608
CZ05,,,Severovýchod,,,
CZ051,,,,Liberecký kraj,50.7476169,14.990302569053862
CZ052,,,,Královéhradecký kraj,50.40930255,15.6850269825579
CZ053,,,,Pardubický kraj,49.889818950000006,16.128325371948733
CZ06,,,Jihovýchod,,,
CZ063,,,,Kraj Vysočina,49.399409649999996,15.570471215163911
CZ064,,,,Jihomoravský kraj,49.1249179,16.682771628867208
CZ07,,,Střední Morava,,,
CZ071,,,,Olomoucký kraj,49.859105799999995,16.956126746749305
CZ072,,,,Zlínský kraj,49.19692,17.646091635845135
CZ08,,,Moravskoslezsko,,,
CZ080,,,,Moravskoslezský kraj,49.860275,18.03865187130863
CZZ,,Extra-Regio,,,,
CZZZ,,,Extra-Regio,,,
CZZZZ,,,,Extra-Regio,-23.65528625,-46.57201674545564
